external_id;full_name;phone;email;birth_date;city
crm-334;Сергеев Григорий Евгеньевич;+79404267267;user231.григ@mail.ru;1972-04-07;Новосибирск
crm-2873;Петрова Дарья Сергеевна;+79789308302;user2037.дарь@mail.ru;1997-02-14;Волгоград
crm-2991;Волков Иван Дмитриевич;+79211590998;user2112.иван@mail.ru;1981-07-21;Омск
crm-2963;Сергеев Кирилл Игоревич;+79757368380;user2095.кири@mail.ru;1994-01-17;Нижний Новгород
crm-812;НИКИТИНА СВЕТЛАНА ПЕТРОВНА;8 (984) 972-06-21;USER577.СВЕТ@MAIL.RU;01/12/1981;НОВОСИБИРСК
crm-3747;Зайцева Виктория Олеговна;+79887298598;user2660.викт@mail.ru;1976-07-20;Воронеж
crm-565;Морозова Екатерина Васильевна;+79376519158;user398.екат@mail.ru;1986-11-02;Нижний Новгород
crm-2728;Владимир Степанов;+79111373968; USER1934.ВЛАД@MAIL.RU ;28/03/1992;г. Ростов-на-Дону
crm-3293;Фролов Василий Игоревич;+79479405271;user2343.васи@mail.ru;1958-07-07;Красноярск
crm-3040;Алексеева София Владимировна;+79769378473;user2147.софи@mail.ru;1996-12-13;Самара
crm-2812;Григорьёв Антон Юрьёвич;79726068194; USER1995.АНТО@MAIL.RU ;11.9.1981;Нижний Новгород г.
crm-2986;семёнова ксения михайловна;924 210 41 57;;28.10.1990;Москва г.
crm-741;Попова Татьяна Васильевна;+79605455670;user529.тать@mail.ru;1971-10-09;Воронеж
crm-1225;Макаров Андрей Борисович;+79383423658;user870.андр@mail.ru;1959-12-08;Екатеринбург
crm-4247;;;;99.99.9999;
crm-4310;;;;99.99.9999;
crm-3179;петров егор олегович;; USER2257.ЕГОР@MAIL.RU ;5.5.1970;г. Санкт-Петербург
crm-1709;Петров Василий Андреевич;+79449882957;user1227.васи@mail.ru;1965-08-23;Воронеж
crm-66;Захарова Вера Юрьевна;+79259752714;user45.вера@mail.ru;1957-02-28;Волгоград
crm-1242;Попова Елена Дмитриевна;+79665289017;user883.елен@mail.ru;1971-05-10;Санкт-Петербург
crm-3716;Алексеева Полина Петровна;+79253183211;user2637.поли@mail.ru;1966-04-19;Омск
crm-1900;Григорьев  Артём  Евгеньевич;79311524508;;1986-03-28;САМАРА
crm-4016;Захаров Валентин Николаевич;+79866974937;user2852.вале@mail.ru;1997-07-24;Ростов-на-Дону
crm-2356;ФЁДОРОВ РОМАН ВЛАДИМИРОВИЧ;79951973904;USER1686.РОМА@MAIL.RU;27.01.1996;ОМСК
crm-3244;Макарова Елена Николаевна;+79143778209;user2304.елен@mail.ru;1963-05-06;Москва
crm-512;Алексеева Виктория Павловна;+79062040932;user363.викт@mail.ru;1970-04-12;Воронеж
crm-2069;Васильев Антон Дмитриевич;+79132130898;user1482.анто@mail.ru;1986-04-18;Екатеринбург
crm-330;Васильев Борис Олегович;+79918703774;user230.бори@mail.ru;1988-10-06;Нижний Новгород
crm-354;Егорова Валентина Борисовна;+79134823756;user246.вале@mail.ru;1958-03-12;Москва
crm-2713;Орлов Артём Борисович;;USER1921.АРТE@MAIL.RU;07/04/1965;РОСТОВ-НА-ДОНУ
crm-3548;Смирнов Фёдор Михайлович;+79862004831;user2522.фeдо@mail.ru;1966-04-13;Уфа
crm-1561;Кузнецов Роман Игоревич;+79073948542;user1117.рома@mail.ru;1988-04-01;Воронеж
crm-493;Михайлов Илья Юрьёвич;; USER350.ИЛЬЯ@MAIL.RU ;21/11/1965;г. Нижний Новгород
crm-3491;Романов Никита Викторович;+79379419735;user2481.ники@mail.ru;1961-06-13;Нижний Новгород
crm-2944;Яковлева Ольга Евгеньевна;+79741064481;user2081.ольг@mail.ru;1963-10-27;Волгоград
crm-2530;Козлов Андрей Борисович;+79700517913;user1805.андр@mail.ru;1969-06-16;Нижний Новгород
crm-2402;Воробьёва Валентина Александровна;+79353762355;user1712.вале@mail.ru;1980-02-08;Пермь
crm-3944;Попова Ирина Олеговна;+79504620364;user2801.ирин@mail.ru;1971-04-11;Красноярск
crm-1936;Яковлёва Вёра Васильёвна;926 876 01 97;;19/11/1992;Самара г.
crm-3354;Александрова Светлана Борисовна;+79311442877;user2375.свет@mail.ru;1994-11-26;Волгоград
crm-888;Козлов Владимир Иванович;+79579432413;user628.влад@mail.ru;1995-09-27;Волгоград
crm-4014;Фёдоров Никита Игоревич;+79041952092;user2850.ники@mail.ru;1995-05-02;Воронеж
crm-447;Петров-Водкин Василий Михайлович;+79154607945;user314.васи@mail.ru;1991-07-22;Самара
crm-2476;Орлов Роман Михайлович;+79694852130;user1767.рома@mail.ru;1997-06-08;Красноярск
crm-2151;Иванов Денис Павлович;+79003288095;user1538.дени@mail.ru;1983-11-24;Воронеж
crm-2962;Кузнецова Юлия Евгеньевна;+79123232416;user2094.юлия@mail.ru;1981-04-11;Уфа
crm-2275;Петров-Водкин Елена;; USER1631.ЕЛЕН@MAIL.RU ;15.07.1980;г. Самара
crm-3242;Иванов Тимофей Алексеевич;+79662492725;user2302.тимо@mail.ru;1969-07-26;Красноярск
crm-1618;АЛЕКСАНДРОВ МАКСИМ АЛЕКСАНДРОВИЧ;; USER1155.МАКС@MAIL.RU ;1995-10-10;Новосибирск г.
crm-1457;Фёдоров Константин Владимирович;+79351943850;user1036.конс@mail.ru;1988-11-03;Москва
crm-701;Петров-Водкин Илья Евгеньевич;+79732606203;user500.илья@mail.ru;1958-11-25;Самара
crm-1188;Никитин Илья Игоревич;+79746888802;user843.илья@mail.ru;1981-04-10;Уфа
crm-1408;Иванова Ольга Дмитриевна;+79575803862;user1006.ольг@mail.ru;1959-01-12;Красноярск
crm-2473;ФРОЛОВ ЮРИЙ ВЛАДИМИРОВИЧ;; USER1766.ЮРИЙ@MAIL.RU ;25.07.1994;г. Краснодар
crm-2835;Егоров Денис Олегович;+79007012326;user2014.дени@mail.ru;1993-06-26;Нижний Новгород
crm-301;Никитин Тимофей Сергеевич;+79584330235;user209.тимо@mail.ru;1955-09-06;Краснодар
crm-502;Александров  Максим  Павлович;79226435749;;18.05.1979;Нижний Новгород г.
crm-691;Фролов Егор Алексеевич;+79850083719;user493.егор@mail.ru;1957-08-12;Пермь
crm-2454;СОКОЛОВ ЯРОСЛАВ ДМИТРИЕВИЧ;8 (905) 637-44-83; USER1750.ЯРОС@MAIL.RU ;19.6.1966;КРАСНОЯРСК
crm-2726;Степанов Владимир Владимирович;+79111373968;user1934.влад@mail.ru;1992-03-28;Ростов-на-Дону
crm-470;Семёнов Юрий;79921472328;USER333.ЮРИЙ@MAIL.RU;25.1.1979;Казань г.
crm-560;Васильев Олег Владимирович;+79364579975;user394.олег@mail.ru;1966-02-19;Ростов-на-Дону
crm-101;Никита Степанов;; USER70.НИКИ@MAIL.RU ;1973-10-02;г. Воронеж
crm-4166;Сергеева Ольга;79072048475;USER2956.ОЛЬГ@MAIL.RU;1963-12-08;Омск г.
crm-1861;Николаев Денис Игоревич;+79405036364;user1331.дени@mail.ru;1985-10-11;Москва
crm-2481;Петров Павел Васильевич;+79939672875;user1771.паве@mail.ru;1996-03-17;Пермь
crm-3984;Соловьёва Анна Юрьевна;+79601913966;user2832.анна@mail.ru;1969-03-16;Уфа
crm-2285;РИМСКИЙ-КОРСАКОВ НИКИТА ИГОРЕВИЧ;8-967-9673382196;;26/06/1956;г. Екатеринбург
crm-1519;Петров-Водкин Вадим Евгеньевич;+79912260270;user1085.вади@mail.ru;1989-01-15;Омск
crm-2449;Попов Тимофей Юрьевич;+79055007812;user1748.тимо@mail.ru;1968-01-24;Уфа
crm-1366;Ксения Егорова;954 739 58 84;USER969.КСЕН@MAIL.RU;02/04/1993;Омск г.
crm-313;Орлов Василий Юрьевич;+79628954476;user221.васи@mail.ru;1969-12-26;Новосибирск
crm-2797;ЗАЙЦЕВ БОРИС ВЛАДИМИРОВИЧ;+79653027370; USER1985.БОРИ@MAIL.RU ;1963-06-13;Санкт-Петербург г.
crm-4104;Михайлов  Станислав  Васильевич;79999799719;USER2916.СТАН@MAIL.RU;6.4.1975;Красноярск г.
crm-778;Иванов Павел Васильевич;+79518686393;user551.паве@mail.ru;1978-07-07;Москва
crm-1566;Семёнов Максим Васильевич;+79054120033;user1121.макс@mail.ru;1960-06-25;Самара
crm-3605;Кирилл Волков;+79761324600; USER2558.КИРИ@MAIL.RU ;16.11.1963;ВОРОНЕЖ
crm-3561;Морозов Борис Игорёвич;959 656 57 02; USER2529.БОРИ@MAIL.RU ;1965-06-25;КРАСНОЯРСК
crm-2734;Павлова Екатерина Викторовна;+79525423249;user1939.екат@mail.ru;1995-10-07;Самара
crm-2301;СМИРНОВ ПЁТР ИГОРЕВИЧ;+79113128020;USER1647.ПEТР@MAIL.RU;1980-10-10;КРАСНОДАР
crm-2516;Степанова Галина Ивановна;+79223456937;user1795.гали@mail.ru;1981-06-18;Санкт-Петербург
crm-810;Никитина Светлана Петровна;+79849720621;user577.свет@mail.ru;1981-12-01;Новосибирск
crm-3072;Соловьёв Кирилл Юрьёвич;+79463068074;;21.04.1991;Новосибирск г.
crm-4274;;;;99.99.9999;
crm-513;Зайцева Ксения Васильевна;+79503354369;user364.ксен@mail.ru;1990-02-23;Москва
crm-2942;Васильева  Елена  Сергеевна;+79119389047;USER2080.ЕЛЕН@MAIL.RU;27.11.1974;Нижний Новгород г.
crm-1293;Кузнецов Артём Алексеевич;+79052046180;user917.артe@mail.ru;1980-11-06;Ростов-на-Дону
crm-224;Иванов Никита Юрьевич;+79195603050;user156.ники@mail.ru;1986-11-22;Пермь
crm-1352;Андреев Игорь Михайлович;+79401325375;user958.игор@mail.ru;1989-09-13;Москва
crm-1391;Михайлов Фёдор Юрьевич;+79188217053;user991.фeдо@mail.ru;1990-09-14;Красноярск
crm-3913;Романова Полина Владимировна;+79053489187;user2781.поли@mail.ru;1980-11-15;Ростов-на-Дону
crm-2717;Воробьёв Василий Владимирович;+79564533944;user1925.васи@mail.ru;1972-08-26;Волгоград
crm-2758;Кузнецова Виктория Сергеевна;+79959908188;user1953.викт@mail.ru;1964-05-09;Волгоград
crm-878;Лебедева Анна Игоревна;+79806312709;user623.анна@mail.ru;1958-08-23;Москва
crm-419;Петров Михаил Олегович;+79775527440;user295.миха@mail.ru;1982-04-06;Москва
crm-284;Козлов Александр Борисович;+79838939122;user195.алек@mail.ru;1998-06-23;Новосибирск
crm-3893;Волков  Валентин  Игоревич;79683645888;USER2765.ВАЛЕ@MAIL.RU;21.04.1984;Москва г.
crm-2876;Соколова  Галина  Сергеевна;989 558 92 37;;26.2.1982;РОСТОВ-НА-ДОНУ
crm-487;Попова Вера Владимировна;+79688964271;user345.вера@mail.ru;1995-07-07;Уфа
crm-2804;Сергеева Ольга Борисовна;+79250131243;user1990.ольг@mail.ru;1957-12-16;Пермь
crm-2833;Никитина Наталья Петровна;+79589592731;user2012.ната@mail.ru;1985-08-06;Краснодар
crm-989;Макарова Наталья Александровна;+79644656257;user695.ната@mail.ru;1985-09-25;Краснодар
crm-3639;Ольга Никитина;8-916-9161345000; USER2583.ОЛЬГ@MAIL.RU ;23.09.1963;РОСТОВ-НА-ДОНУ
crm-2667;Воробьёв Максим Михайлович;+79446775244;user1896.макс@mail.ru;1958-03-28;Уфа
crm-1916;Алёксандров Станислав Алёксандрович;8 (921) 339-85-65;USER1368.СТАН@MAIL.RU;14.6.1955;г. Краснодар
crm-1104;Михайлов Михаил Александрович;+79789208785;user779.миха@mail.ru;1984-07-12;Омск
crm-2331;ЛЕБЕДЕВ ЕГОР ОЛЕГОВИЧ;; USER1669.ЕГОР@MAIL.RU ;1960-02-22;УФА
crm-2207;Егоров Игорь Васильевич;+79639323924;user1581.игор@mail.ru;1985-09-22;Казань
crm-97;Лебедев Тимофей Владимирович;+79457598171;user68.тимо@mail.ru;1967-02-18;Красноярск
crm-2536;Макаров Лев Алексеевич;+79842199584;user1810.лев@mail.ru;1974-03-06;Красноярск
crm-1146;Фролов Тимофей Павлович;+79356019601;user813.тимо@mail.ru;1972-02-23;Новосибирск
crm-2565;римский-корсаков виктор викторович;8 (900) 840-95-95;USER1828.ВИКТ@MAIL.RU;04.12.1982;ВОЛГОГРАД
crm-715;Кузнецова Юлия Владимировна;+79552856133;user509.юлия@mail.ru;1966-02-03;Санкт-Петербург
crm-3522;БОРИСОВ АЛЕКСЕЙ ВАСИЛЬЕВИЧ;79962071010;;18/03/1975;г. Екатеринбург
crm-4064;Смирнова Елена Игоревна;+79421975762;user2888.елен@mail.ru;1967-08-23;Волгоград
crm-3251;Римский-Корсаков Фёдор Александрович;+79334719602;user2308.фeдо@mail.ru;1991-02-24;Воронеж
crm-966;Фролова Татьяна Дмитриёвна;8 (961) 952-62-15; USER680.ТАТЬ@MAIL.RU ;1984-08-05;Уфа г.
crm-779;Смирнов Алексей Александрович;+79543533500;user552.алек@mail.ru;1992-11-26;Красноярск
crm-3868;Романова Ксения Дмитриевна;+79943084911;user2743.ксен@mail.ru;1997-07-21;Пермь
crm-2208;Алексеева Ксения Борисовна;+79355235667;user1582.ксен@mail.ru;1965-09-27;Казань
crm-2662;Захарова Анна Евгеньевна;+79154423415;user1891.анна@mail.ru;1975-07-13;Краснодар
crm-871;Волков Тимофёй Павлович;981 860 94 02;USER619.ТИМО@MAIL.RU;28.2.1990;ВОРОНЕЖ
crm-1927;Михайлов Василий Николаевич;+79053245492;user1375.васи@mail.ru;1991-08-11;Екатеринбург
crm-2820;Степанов Тимофей;8 (907) 347-92-63; USER2000.ТИМО@MAIL.RU ;7.10.1959;г. Екатеринбург
crm-979;Орлов Даниил Сергеевич;+79011791960;user689.дани@mail.ru;1990-05-03;Омск
crm-2185;Фролов Даниил Андреевич;+79731212072;user1566.дани@mail.ru;1991-01-27;Москва
crm-4006;Сергеева Татьяна Павловна;+79979332336;user2846.тать@mail.ru;1991-05-18;Воронеж
crm-390;Макарова Елена Сергеевна;+79966198491;user273.елен@mail.ru;1961-12-03;Краснодар
crm-3857;Елена Николаева;8 (923) 528-31-68;USER2737.ЕЛЕН@MAIL.RU;1964-12-15;г. Самара
crm-3647;Козлов Денис Иванович;+79640626509;user2587.дени@mail.ru;1955-05-28;Самара
crm-214;Макарова Елена Андреевна;+79873378515;user147.елен@mail.ru;1982-03-24;Волгоград
crm-3591;Фёдоров Фёдор Алексеевич;+79234693566;user2548.фeдо@mail.ru;1985-10-10;Пермь
crm-276;Фёдорова Людмила Борисовна;+79829485153;user189.людм@mail.ru;1990-10-22;Омск
crm-3972;Орлова Елена Васильевна;+79710867603;user2823.елен@mail.ru;1967-02-13;Пермь
crm-1537;Соколова Мария Алексеевна;+79918425119;user1097.мари@mail.ru;1965-07-03;Самара
crm-4129;Козлова Полина Павловна;+79355919512;user2931.поли@mail.ru;1956-04-20;Новосибирск
crm-2031;Яковлев Андрей Андреевич;+79982941483;user1452.андр@mail.ru;1969-03-07;Уфа
crm-3319;Ярослав Николаев;982 731 61 43;USER2357.ЯРОС@MAIL.RU;16.05.1971;г. Нижний Новгород
crm-2528;Соколова Ольга Петровна;+79752519879;user1804.ольг@mail.ru;1976-12-26;Санкт-Петербург
crm-879;Павлов Виктор Иванович;+79095878690;user624.викт@mail.ru;1963-11-20;Омск
crm-3463;Иванов Тимофей Алексеевич;+79835763034;user2462.тимо@mail.ru;1976-08-14;Ростов-на-Дону
crm-279;Семёнов Фёдор Викторович;+79175957341;user192.фeдо@mail.ru;1980-11-04;Волгоград
crm-3917;Александров Антон Владимирович;+79316772732;user2782.анто@mail.ru;1976-12-08;Самара
crm-1908;Фёдорова Анна Игоревна;+79990680237;user1364.анна@mail.ru;1990-04-11;Нижний Новгород
crm-2380;Пётр Кузнецов;;USER1700.ПEТР@MAIL.RU;27/07/1988;Екатеринбург г.
crm-3411;Соколов Владимир Пётрович;;USER2420.ВЛАД@MAIL.RU;01.05.1959;РОСТОВ-НА-ДОНУ
crm-1303;Даниил Михайлов;991 432 74 62;;11.04.1964;г. Самара
crm-391;Смирнов Григорий Иванович;+79225813523;user274.григ@mail.ru;1984-09-25;Омск
crm-2287;Римский-Корсаков Никита Игорёвич;967 338 21 96;USER1638.НИКИ@MAIL.RU;26.06.1956;г. Екатеринбург
crm-2167;алексеев пётр алексеевич;;USER1550.ПEТР@MAIL.RU;1988-08-14;Новосибирск г.
crm-1474;Андреев Глеб Иванович;+79209215060;user1047.глеб@mail.ru;1981-11-01;Екатеринбург
